##### ##### #####
Kp=0.0006500
Kd=0.0015000
Samples=600
Period=0.0020
-1.2675 , 0.0578
-0.8626 , 0.4050
-0.8049 , 0.0576
-0.4225 , 0.3824
-0.2160 , 0.2065
0.3512 , 0.5672
0.5957 , 0.2445
1.1874 , 0.5917
1.2186 , 0.0312
2.0246 , 0.8061
1.5134 , -0.5113
2.4708 , 0.9574
2.6226 , 0.1518
3.5480 , 0.9254
3.8923 , 0.3443
4.1169 , 0.2246
5.2765 , 1.1596
5.6433 , 0.3667
1.9553 , -3.6879
1.6304 , -0.3249
1.3235 , -0.3069
1.4305 , 0.1070
0.9956 , -0.4349
0.3499 , -0.6457
1.1274 , 0.7775
1.3460 , 0.2187
0.7711 , -0.5749
0.6342 , -0.1369
0.1626 , -0.4715
0.3266 , 0.1640
-0.1185 , -0.4451
0.0832 , 0.2017
-0.6327 , -0.7159
-0.7758 , -0.1431
-0.6570 , 0.1188
-1.2462 , -0.5892
-0.8889 , 0.3574
-1.8776 , -0.9887
-1.8052 , 0.0724
-1.7873 , 0.0179
-1.9810 , -0.1937
-2.6142 , -0.6333
-3.0756 , -0.4614
-3.1902 , -0.1146
-3.8922 , -0.7020
-4.6277 , -0.7355
-4.7923 , -0.1647
-4.1989 , 0.5934
-4.2182 , -0.0193
-3.3158 , 0.9024
-3.3744 , -0.0586
-2.9950 , 0.3794
-2.4339 , 0.5611
-2.5895 , -0.1557
-2.4361 , 0.1535
-1.9096 , 0.5264
-0.9285 , 0.9811
-0.9001 , 0.0284
-0.2290 , 0.6711
0.3302 , 0.5592
1.5660 , 1.2358
1.7298 , 0.1638
1.9836 , 0.2538
2.4384 , 0.4548
3.6684 , 1.2300
3.3659 , -0.3025
3.7917 , 0.4257
4.3113 , 0.5197
4.4089 , 0.0976
5.1864 , 0.7775
5.4356 , 0.2492
5.2221 , -0.2135
5.6134 , 0.3914
6.1212 , 0.5078
6.2820 , 0.1608
6.7662 , 0.4842
6.9549 , 0.1887
7.5738 , 0.6189
7.7671 , 0.1932
